Player,Matches_Played,Total_Medals,Unique_Medals,Avg_Medals_Per_Match
ABOrtiz01,1,10,5,10.0
ABQ Jay,1,5,3,5.0
ABRAHAM 2410,1,3,2,3.0
ABRM117,1,2,2,2.0
ABUNDIS UNSC,1,8,2,8.0
ABadMans Creed,1,11,4,11.0
ABarbecuedgrunt,2,21,11,10.5
ABeagle5,3,26,8,8.67
ABeautifuLMind,3,41,8,13.67
ABees5,1,17,8,17.0
ABipoIarPenguin,1,6,4,6.0
ABlu3BerryJam,1,1,1,1.0
ABodilyFunction,1,18,12,18.0
ABowl0fStu,2,16,7,8.0
ABowlOfNoodles,1,27,7,27.0
ABrainiac,1,16,8,16.0
AC Bulldawg,1,42,14,42.0
AC CIoud Strife,1,9,3,9.0
AC EzioAuditore,1,1,1,1.0
AC OMW2FYB,2,11,8,5.5
AC xXEFAAXx,2,14,9,7.0
AC130RiseAbove,3,22,9,7.33
AC3 0F D3ATH,1,21,9,21.0
AC3 4SS4SS1N,2,46,23,23.0
ACDIH,1,35,16,35.0
ACE 13 7,4,79,12,19.75
ACE 360,1,7,5,7.0
ACE BR3AKER 117,2,39,11,19.5
ACE ROTHSTElN,2,10,5,5.0
ACE S0L0,1,5,4,5.0
ACE x ViPerZz,1,7,5,7.0
ACE1Headshot,1,20,13,20.0
ACEONATION,1,5,5,5.0
ACES1000,2,15,8,7.5
ACEofDEATH123,1,3,2,3.0
ACEsh00ter123,1,3,2,3.0
ACHIEVEAHOLICS,1,7,2,7.0
ACHILLIES21,1,6,1,6.0
ACHornsBee,1,32,15,32.0
ACHunter,2,72,15,36.0
ACID RABIES,1,12,8,12.0
ACJ 0792,2,16,8,8.0
ACK DMan,2,16,8,8.0
ACK Hunter,1,1,1,1.0
ACK3RM4N11,1,5,2,5.0
ACM10OWNSNOOBS,1,6,4,6.0
ACR518,2,33,13,16.5
ACRIM0NI0US,1,19,4,19.0
ACS89652145,1,1,1,1.0
ACTIVE Rainbow7,1,2,2,2.0
ACTUALLETTERS,1,6,2,6.0
ACURA17000,1,9,7,9.0
ACandleWick13,1,1,1,1.0
ACardboardNoob,1,4,2,4.0
ACarp25,1,5,3,5.0
AChumbaWumba54,1,10,7,10.0
AClean Shadow69,1,6,5,6.0
ACrippleInTime,3,34,10,11.33
AD 138,1,14,9,14.0
AD Shotterx,1,24,7,24.0
ADA426,1,3,3,3.0
